code,name,section,enabled,surgical,min_quantity,max_quantity,diagnosis_required,sex,scope,stay,coverage,odontology,priority
963801,EXTRACCION DIGITAL O MANUAL DE HECES IMPACTADAS,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
963900,IRRIGACION O ENEMA TRANSANAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
963901,ENEMA O IRRIGACION TRANSANAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
964100,IRRIGACION LAVADO O LIMPIEZA E INSTILACION LOCAL DE COLECISTOSMIA Y OTRO TUBO BILIAR SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
964101,"IRRIGACION, LAVADO O LIMPIEZA E INSTILACION LOCAL DE COLECISTOSMIA Y OTRO TUBO BILIAR",SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
964900,INSTILACION GENITOURINARIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
964901,INSTILACION GENITOURINARIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
965100,IRRIGACION Y LAVADO DEL OJO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965101,IRRIGACION Y LAVADO DEL OJO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
965200,LAVADO E IRRIGACION DE OIDOS SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965201,LAVADO E IRRIGACION DE OIDOS,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965202,CURACION DE OIDO,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965203,CURACION DE OIDO VIA ENDOSCOPICA,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965301,IRRIGACION O CURACION DE CONDUCTOS NASALES,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965302,CURACION ENDOSCOPICA DE SENOS PARANASALES,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965500,LIMPIEZA Y CUIDADOS DE TRAQUEOSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965501,LIMPIEZA Y CUIDADOS DE TRAQUEOSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
965901,LAVADO IRRIGACION Y CUIDADOS DE HERIDA EN AREA GENERAL,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
965902,LAVADO IRRIGACION Y CUIDADOS DE HERIDA EN AREA ESPECIAL,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
966101,INFUSION DE ALIMENTACION ENTERAL POR SONDA,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
967001,INSEMINACION ARTIFICIAL,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
967002,FECUNDACION (FERTILIZACION) IN VITRO,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
967003,FERTILIZACION IN VITRO SIN INYECCION INTRACITOPLASMATICA DE ESPERMATOZOIDES,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
967004,FERTILIZACION IN VITRO CON INYECCION INTRACITOPLASMATICA DE ESPERMATOZOIDES,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
967005,FERTILIZACION IN VITRO,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,H,Z,,0,0
967006,TRANSFERENCIA EMBRIONARIA,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,H,Z,,0,0
970100,SUSTITUCION DE TUBO (SONDA) NASOGASTRICO O DE ESOFAGOSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
970101,SUSTITUCION DE TUBO (SONDA) NASOGASTRICO O DE ESOFAGOSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
970200,SUSTITUCION DE TUBO (SONDA) DE GASTROSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
970201,SUSTITUCION DE TUBO (SONDA) DE GASTROSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
970300,SUSTITUCION DE TUBO O DISPOSITIVO DE ENTEROSTOMIA DEL INTESTINO DELGADO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
970301,SUSTITUCION DE TUBO (SONDA) O DISPOSITIVO DE ENTEROSTOMIA DEL INTESTINO DELGADO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
970400,SUSTITUCION DE TUBO O DISPOSITIVO DE ENTEROSTOMIA DEL INTESTINO GRUESO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
970401,SUSTITUCION DE TUBO (SONDA) O DISPOSITIVO DE ENTEROSTOMIA DEL INTESTINO GRUESO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
970500,SUSTITUCION DE TUBO O DISPOSITIVO EN VIAS BILIARES O CONDUCTO PANCREATICO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
970501,SUSTITUCION DE TUBO (SONDA) O DISPOSITIVO EN VIAS BILIARES O CONDUCTO PANCREATICO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
